,uid,mat,createtime,voteUp,content
46,1498568469,0,1565970144000,1,大爱与小团体哪个重要？
46,1718080901,0,1566004948000,0,周末打卡~
46,1039328155,0,1565884694000,0,王蕴秀帮着别人搞自己老爹的义兄，真是将门虎逼女
46,392394203,0,1565790925000,1,2019年08月14日举手~
46,1486456955,0,1565767742000,1,彻底烂尾了，辜负我开的会员
46,779604867,0,1566019479000,0,zxj因为你护着的这个人，害死了多少条人命
46,1333430687,0,1565794453000,0,一个将军的女儿就能调兵
46,1415061504,0,1566058605000,0,2倍速
46,1020080972,0,1565761084000,19,张小敬：崔器不在的第六个时辰想他
46,1173719777,0,1565954583000,0,杀了张小敬杀了张小敬杀了张小敬杀了张小敬杀了张小敬
46,1640934517,0,1565923860000,0,元载都罢演了，饶过他吧
46,1726621101,0,1565789892000,0,这是兄弟啊
46,1041199226,0,1565745537000,0,元载……
46,1112895857,0,1566037874000,0,龙波：张小敬，你个🐷，大唐都要没了护长安有个p用
46,1695215775,0,1565945994000,2,龙波计划一直天衣无缝，结果最后因为见了张小敬全毁了
46,1649141328,0,1565779815000,0,终于天亮了，眼睛看的累死了
46,1562238518,0,1566029907000,0,如果只有12集肯定良心剧
46,326854478,0,1566125559000,0,嘚瑟啥，特别不喜欢这个周一围，演的真油腻
46,1745302492,0,1565775349000,0,张小敬替第八团保护他们的信仰长安，保护长安子民
46,1484768069,0,1566097698000,0,前面说对雷佳音粉转黑的站住，人物行为别上身偶像
46,1074730119,0,1565793470000,2,张小敬：对于张来说，幕后布局，兄弟亲人长安皆为棋子，必须查
46,1716117934,0,1566040622000,1,剧中人物行为请勿代入演员本身😊
46,731943258,0,1565891100000,1,我要是有张小敬这种兄弟，我也是服我自己
46,847149012,0,1565889555000,0,心酸
46,827330728,0,1565930196000,0,杀了张小敬杀了张小敬杀了张小敬杀了张小敬杀了张小敬
46,1146119936,0,1566138583000,0,唉，普通人不是连张小
46,1029950114,0,1566029316000,1,张小敬价值观有问题
46,1528919856,0,1565853372000,1,受不了了，太拖拉了
46,1649914970,0,1566047256000,0,千玺千玺
46,1513368459,0,1566106151000,0,2019年08月18日打卡~
46,1088457547,0,1565957675000,1,他救死了，没有想伤圣人老儿
46,1568439066,0,1566135951000,0,李必：我的镜头越来越少了
46,1467650335,0,1565856698000,1,感觉终极boss是圣人，徐斌是圣人的暗装。
46,326854478,0,1566125637000,0,拉倒吧，周一围演啥都这么个样儿
46,837960794,0,1565858741000,2,哎，从头看到这儿。不容易啊
46,1086247095,0,1565755600000,0,愚忠
46,1568439066,0,1566135891000,0,试试会员色
46,1500698823,0,1566096537000,0,圣人：我就看着你俩打，我也不管
46,1759803788,0,1565965110000,0,李必：加油努力打呀！ﾞ━=͟͟͞͞(Ŏ◊Ŏ ‧̣̥̇)
46,1333430687,0,1565794716000,0,靖安司离得近？檀琪跑半天还没他们先送到信？
46,1088457547,0,1565958413000,2,朝中没有人想救圣人，只想杀他
